order_id,order_date,order_time,customer_id,store_id,city,order_type,payment_method,pizza_id,pizza_name,category,size,quantity,unit_price,discount_amount,delivery_minutes
10001,2025-11-24,14:47:00,1141,4,Bhilai,Delivery,UPI,P010,Pepper Barbecue Chicken,Chicken,M,1,319,0,19
10002,2025-02-17,16:32:00,1309,1,Raipur,Delivery,Wallet,P007,Peppy Paneer,Veg,L,1,449,0,28
10002,2025-02-17,16:32:00,1309,1,Raipur,Delivery,Wallet,P004,Farmhouse,Veg,M,1,299,29.9,39
10003,2025-05-23,15:48:00,1173,2,Raipur,Delivery,UPI,P017,Cheese Burst,Specialty,L,1,474,47.4,52
10003,2025-05-23,15:48:00,1173,2,Raipur,Delivery,UPI,P010,Pepper Barbecue Chicken,Chicken,M,1,319,0,42
10003,2025-05-23,15:48:00,1173,2,Raipur,Delivery,UPI,P015,Mexican Green Wave,Veg,L,1,449,0,53
10004,2025-05-31,20:39:00,1442,6,Bhilai,Delivery,UPI,P011,Pepper Barbecue Chicken,Chicken,L,1,469,23.45,23
10005,2025-04-30,21:24:00,1143,8,Durg,Delivery,Cash,P006,Peppy Paneer,Veg,M,1,299,14.95,62
10005,2025-04-30,21:24:00,1143,8,Durg,Delivery,Cash,P003,Margherita,Classic,L,1,449,0,56
10006,2025-11-22,15:46:00,1126,3,Raipur,Delivery,Cash,P012,Veg Extravaganza,Premium Veg,M,1,329,0,32
10006,2025-11-22,15:46:00,1126,3,Raipur,Delivery,Cash,P017,Cheese Burst,Specialty,L,1,474,0,38
10007,2025-07-25,16:13:00,1291,15,Nagpur,Takeaway,Card,P006,Peppy Paneer,Veg,M,1,299,0,0
10007,2025-07-25,16:13:00,1291,15,Nagpur,Takeaway,Card,P019,Paneer Makhani,Veg,L,1,449,22.45,0
10007,2025-07-25,16:13:00,1291,15,Nagpur,Takeaway,Card,P007,Peppy Paneer,Veg,L,1,449,44.9,0
10007,2025-07-25,16:13:00,1291,15,Nagpur,Takeaway,Card,P004,Farmhouse,Veg,M,1,299,29.9,0
10008,2025-07-05,16:08:00,1261,8,Durg,Delivery,UPI,P003,Margherita,Classic,L,1,449,0,61
10009,2025-08-05,19:24:00,1196,10,Bilaspur,Dine-in,Cash,P012,Veg Extravaganza,Premium Veg,M,1,329,0,0
10010,2025-12-16,21:48:00,1137,13,Nagpur,Delivery,UPI,P007,Peppy Paneer,Veg,L,2,449,44.9,50
10010,2025-12-16,21:48:00,1137,13,Nagpur,Delivery,UPI,P020,Garlic Bread,Sides,M,1,149,0,50
10011,2025-02-24,21:19:00,1431,11,Bilaspur,Delivery,Card,P006,Peppy Paneer,Veg,M,1,299,0,56
10011,2025-02-24,21:19:00,1431,11,Bilaspur,Delivery,Card,P003,Margherita,Classic,L,1,449,22.45,49
10012,2025-01-10,14:23:00,1450,14,Nagpur,Takeaway,Card,P004,Farmhouse,Veg,M,1,299,0,0
10013,2025-02-13,20:52:00,1036,13,Nagpur,Delivery,Card,P011,Pepper Barbecue Chicken,Chicken,L,1,469,0,34
10013,2025-02-13,20:52:00,1036,13,Nagpur,Delivery,Card,P020,Garlic Bread,Sides,M,1,149,14.9,31
10014,2025-10-04,20:44:00,1103,12,Bilaspur,Delivery,Cash,P018,Paneer Makhani,Veg,M,1,299,0,55
10014,2025-10-04,20:44:00,1103,12,Bilaspur,Delivery,Cash,P007,Peppy Paneer,Veg,L,1,449,0,55
10014,2025-10-04,20:44:00,1103,12,Bilaspur,Delivery,Cash,P004,Farmhouse,Veg,M,1,299,0,18
10014,2025-10-04,20:44:00,1103,12,Bilaspur,Delivery,Cash,P001,Margherita,Classic,S,1,179,0,63
10015,2025-11-20,13:04:00,1017,14,Nagpur,Delivery,Card,P012,Veg Extravaganza,Premium Veg,M,1,329,32.9,33
10015,2025-11-20,13:04:00,1017,14,Nagpur,Delivery,Card,P003,Margherita,Classic,L,1,449,44.9,44
10015,2025-11-20,13:04:00,1017,14,Nagpur,Delivery,Card,P002,Margherita,Classic,M,1,299,0,24
10016,2025-02-19,19:22:00,1217,7,Durg,Delivery,UPI,P001,Margherita,Classic,S,1,179,8.95,24
10017,2025-05-08,15:34:00,1230,3,Raipur,Delivery,Cash,P004,Farmhouse,Veg,M,1,299,0,21
10017,2025-05-08,15:34:00,1230,3,Raipur,Delivery,Cash,P019,Paneer Makhani,Veg,L,1,449,0,23
10017,2025-05-08,15:34:00,1230,3,Raipur,Delivery,Cash,P007,Peppy Paneer,Veg,L,1,449,0,28
10017,2025-05-08,15:34:00,1230,3,Raipur,Delivery,Cash,P017,Cheese Burst,Specialty,L,1,474,47.4,49
10018,2025-09-04,16:25:00,1031,3,Raipur,Delivery,Wallet,P019,Paneer Makhani,Veg,L,1,449,44.9,27
10018,2025-09-04,16:25:00,1031,3,Raipur,Delivery,Wallet,P015,Mexican Green Wave,Veg,L,1,449,0,36
10018,2025-09-04,16:25:00,1031,3,Raipur,Delivery,Wallet,P004,Farmhouse,Veg,M,1,299,0,21
10019,2025-10-24,20:03:00,1383,6,Bhilai,Delivery,Wallet,P001,Margherita,Classic,S,1,179,0,22
10019,2025-10-24,20:03:00,1383,6,Bhilai,Delivery,Wallet,P008,Chicken Dominator,Chicken,M,1,319,0,61
10020,2025-05-01,17:56:00,1292,4,Bhilai,Delivery,UPI,P007,Peppy Paneer,Veg,L,1,449,22.45,34
10021,2025-04-15,19:20:00,1123,5,Bhilai,Delivery,Cash,P005,Farmhouse,Veg,L,1,449,0,22
10021,2025-04-15,19:20:00,1123,5,Bhilai,Delivery,Cash,P014,Mexican Green Wave,Veg,M,1,299,0,50
10021,2025-04-15,19:20:00,1123,5,Bhilai,Delivery,Cash,P001,Margherita,Classic,S,1,179,8.95,26
10021,2025-04-15,19:20:00,1123,5,Bhilai,Delivery,Cash,P007,Peppy Paneer,Veg,L,1,449,22.45,22
10022,2025-05-06,17:10:00,1225,14,Nagpur,Delivery,Cash,P012,Veg Extravaganza,Premium Veg,M,1,329,16.45,60
10023,2025-02-23,22:08:00,1136,2,Raipur,Takeaway,Card,P004,Farmhouse,Veg,M,1,299,14.95,0
10023,2025-02-23,22:08:00,1136,2,Raipur,Takeaway,Card,P003,Margherita,Classic,L,1,449,44.9,0
10023,2025-02-23,22:08:00,1136,2,Raipur,Takeaway,Card,P005,Farmhouse,Veg,L,1,449,22.45,0
10024,2025-01-27,14:27:00,1425,5,Bhilai,Delivery,Cash,P011,Pepper Barbecue Chicken,Chicken,L,1,469,46.9,53
10024,2025-01-27,14:27:00,1425,5,Bhilai,Delivery,Cash,P004,Farmhouse,Veg,M,1,299,29.9,53
10025,2025-01-05,14:56:00,1354,15,Nagpur,Delivery,UPI,P010,Pepper Barbecue Chicken,Chicken,M,1,319,15.95,41
10025,2025-01-05,14:56:00,1354,15,Nagpur,Delivery,UPI,P003,Margherita,Classic,L,1,449,0,40
10025,2025-01-05,14:56:00,1354,15,Nagpur,Delivery,UPI,P002,Margherita,Classic,M,1,299,0,61
10026,2025-05-08,19:22:00,1400,9,Durg,Takeaway,Wallet,P019,Paneer Makhani,Veg,L,1,449,0,0
10026,2025-05-08,19:22:00,1400,9,Durg,Takeaway,Wallet,P004,Farmhouse,Veg,M,1,299,0,0
10027,2025-07-31,12:47:00,1171,13,Nagpur,Dine-in,Card,P003,Margherita,Classic,L,1,449,0,0
10027,2025-07-31,12:47:00,1171,13,Nagpur,Dine-in,Card,P013,Veg Extravaganza,Premium Veg,L,1,479,47.9,0
10027,2025-07-31,12:47:00,1171,13,Nagpur,Dine-in,Card,P006,Peppy Paneer,Veg,M,1,299,0,0
10028,2025-04-13,20:29:00,1180,5,Bhilai,Takeaway,Card,P001,Margherita,Classic,S,1,179,8.95,0
10028,2025-04-13,20:29:00,1180,5,Bhilai,Takeaway,Card,P003,Margherita,Classic,L,1,449,22.45,0
10029,2025-02-05,22:17:00,1180,11,Bilaspur,Delivery,Cash,P002,Margherita,Classic,M,1,299,14.95,29
10030,2025-10-25,22:16:00,1020,2,Raipur,Delivery,Cash,P007,Peppy Paneer,Veg,L,1,449,0,34
10030,2025-10-25,22:16:00,1020,2,Raipur,Delivery,Cash,P020,Garlic Bread,Sides,M,1,149,0,63
10030,2025-10-25,22:16:00,1020,2,Raipur,Delivery,Cash,P002,Margherita,Classic,M,1,299,29.9,18
